index,id,language,setCode,translation
209,210,Spanish,STH,
210,211,Chinese Simplified,THB,
211,212,Chinese Traditional,THB,
212,213,French,THB,Theros par-delà la mort
213,214,German,THB,
214,215,Italian,THB,
215,216,Japanese,THB,
216,217,Korean,THB,
217,218,Portuguese (Brazil),THB,
218,219,Russian,THB,
219,220,Spanish,THB,
220,221,Chinese Simplified,TMP,
221,222,Chinese Traditional,TMP,
222,223,French,TMP,Tempête
223,224,German,TMP,
224,225,Italian,TMP,
225,226,Japanese,TMP,
226,227,Korean,TMP,
227,228,Portuguese (Brazil),TMP,
228,229,Russian,TMP,
229,230,Spanish,TMP,
230,231,Chinese Simplified,UDS,
231,232,Chinese Traditional,UDS,
232,233,French,UDS,La destinée d'Urza
233,234,German,UDS,
234,235,Italian,UDS,
235,236,Japanese,UDS,
236,237,Korean,UDS,
237,238,Portuguese (Brazil),UDS,
238,239,Russian,UDS,
239,240,Spanish,UDS,
240,241,Chinese Simplified,ULG,
241,242,Chinese Traditional,ULG,
242,243,French,ULG,L'héritage d'Urza
243,244,German,ULG,
244,245,Italian,ULG,
245,246,Japanese,ULG,
246,247,Korean,ULG,
247,248,Portuguese (Brazil),ULG,
248,249,Russian,ULG,
249,250,Spanish,ULG,
250,251,Chinese Simplified,USG,
251,252,Chinese Traditional,USG,
252,253,French,USG,L'épopée d'Urza
253,254,German,USG,
254,255,Italian,USG,
255,256,Japanese,USG,
256,257,Korean,USG,
257,258,Portuguese (Brazil),USG,
258,259,Russian,USG,
259,260,Spanish,USG,
260,261,Chinese Simplified,WAR,
261,262,Chinese Traditional,WAR,
262,263,French,WAR,La Guerre des Planeswlakers
263,264,German,WAR,
264,265,Italian,WAR,
265,266,Japanese,WAR,
266,267,Korean,WAR,
267,268,Portuguese (Brazil),WAR,
268,269,Russian,WAR,
269,270,Spanish,WAR,
270,271,Chinese Simplified,WTH,
271,272,Chinese Traditional,WTH,
272,273,French,WTH,Aquilon
273,274,German,WTH,
274,275,Italian,WTH,
275,276,Japanese,WTH,
276,277,Korean,WTH,
277,278,Portuguese (Brazil),WTH,
278,279,Russian,WTH,
279,280,Spanish,WTH,
